State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,Medium,Low,382-4657,no,yes,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,High,Low,False.
OH,Medium,Low,371-7191,no,yes,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,High,Low,False.
NJ,Medium,Low,358-1921,no,no,Low,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,High,Low,False.
OH,Medium,Low,375-9999,yes,no,Low,High,Medium,High,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,False.
OK,Low,Low,330-6626,yes,no,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,False.
AL,Medium,,391-8027,yes,no,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,False.
MA,Medium,,355-9993,no,yes,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,False.
MO,Medium,Low,329-9001,yes,no,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,False.
LA,Medium,Low,335-4719,no,no,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Low,High,Low,False.
WV,Medium,Low,330-8173,yes,yes,High,High,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Low,False.
IN,Low,Low,329-6603,no,no,Low,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,True.
RI,Low,Low,344-9403,no,no,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,High,Low,False.
IA,High,Low,363-1107,no,no,Low,Medium,Medium,Medium,Low,Medium,Low,Low,High,Medium,Medium,Low,High,Low,False.
MT,Medium,,394-8006,no,no,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Low,High,Medium,False.
IA,Low,Low,366-9238,no,no,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,False.
NY,High,Low,351-7269,no,no,Low,High,Medium,High,High,Medium,High,Medium,High,Medium,Low,Medium,Medium,Medium,True.
ID,Medium,Low,350-8884,no,yes,Medium,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,Low,High,Low,False.
