State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,0.676,-0.524,382-4657,no,yes,1.235,1.567,0.477,1.567,-0.071,-0.056,-0.07,0.867,-0.465,0.866,-0.085,-0.601,-0.086,-0.428,False.
OH,0.149,-0.524,371-7191,no,yes,1.308,-0.334,1.125,-0.334,-0.108,0.145,-0.108,1.059,0.148,1.059,1.24,-0.601,1.241,-0.428,False.
NJ,0.903,-0.524,358-1921,no,no,-0.592,1.168,0.676,1.168,-1.573,0.496,-1.574,-0.757,0.199,-0.756,0.703,0.212,0.697,-1.188,False.
OH,-0.429,-0.689,375-9999,yes,no,-0.592,2.197,-1.467,2.197,-2.743,-0.608,-2.743,-0.079,-0.568,-0.079,-1.303,1.024,-1.306,0.332,False.
OK,-0.655,-0.524,330-6626,yes,no,-0.592,-0.24,0.626,-0.24,-1.039,1.099,-1.038,-0.276,1.068,-0.277,-0.049,-0.601,-0.046,1.093,False.
AL,0.425,1.719,391-8027,yes,no,-0.592,0.801,-0.121,0.801,0.387,0.044,0.387,0.06,0.914,0.062,-1.41,0.618,-1.413,-1.188,False.
MA,0.501,1.719,355-9993,no,yes,1.162,0.706,-0.62,0.705,2.909,0.396,2.909,0.232,0.914,0.233,-0.981,1.024,-0.975,1.093,False.
MO,1.154,-0.524,329-9001,yes,no,-0.592,-0.418,-1.068,-0.418,-1.93,-0.307,-1.931,0.216,-0.21,0.216,-1.124,0.618,-1.121,-1.188,False.
LA,0.4,-0.689,335-4719,no,no,-0.592,0.087,-0.171,0.087,2.97,-1.01,2.971,0.295,-0.517,0.295,-0.551,-0.195,-0.55,-0.428,False.
WV,1.003,-0.524,330-8173,yes,yes,2.112,1.447,-0.819,1.447,0.415,0.546,0.414,2.482,-0.159,2.483,0.345,0.212,0.339,-1.188,False.
