State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,High,Low,382-4657,no,yes,High,High,High,High,High,High,High,High,Low,High,High,Low,High,Low,False.
OH,Low,Low,371-7191,no,yes,High,Low,High,Low,High,High,High,High,Low,High,High,Low,High,Low,False.
NJ,High,Low,358-1921,no,no,Low,High,High,High,Low,High,Low,Low,High,Low,High,Low,High,Low,False.
OH,Low,Low,375-9999,yes,no,Low,High,Low,High,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,False.
OK,Low,Low,330-6626,yes,no,Low,Low,High,Low,Low,High,Low,Low,High,Low,High,Low,High,Low,False.
AL,Low,,391-8027,yes,no,Low,High,High,High,High,High,High,Low,High,High,Low,Low,Low,Low,False.
MA,Low,,355-9993,no,yes,Low,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,False.
MO,High,Low,329-9001,yes,no,Low,Low,Low,Low,Low,High,Low,High,Low,High,Low,Low,Low,Low,False.
LA,Low,Low,335-4719,no,no,Low,High,High,High,High,Low,High,High,Low,High,Low,Low,High,Low,False.
WV,High,Low,330-8173,yes,yes,High,High,High,High,High,High,High,High,Low,High,High,Low,High,Low,False.
IN,Low,Low,329-6603,no,no,Low,Low,High,Low,High,Low,High,High,High,High,High,Low,High,High,True.
RI,Low,Low,344-9403,no,no,Low,High,High,High,Low,High,Low,Low,Low,Low,Low,Low,High,Low,False.
IA,High,Low,363-1107,no,no,Low,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,High,Low,False.
MT,Low,,394-8006,no,no,Low,Low,High,Low,High,Low,High,Low,High,Low,High,Low,High,Low,False.
IA,Low,Low,366-9238,no,no,Low,Low,Low,Low,High,Low,High,Low,Low,High,High,Low,High,High,False.
NY,High,Low,351-7269,no,no,Low,High,Low,High,High,High,High,Low,High,Low,Low,Low,Low,High,True.
ID,Low,Low,350-8884,no,yes,High,High,High,High,High,High,High,Low,Low,Low,High,Low,High,Low,False.
VT,Low,,386-2923,no,no,Low,High,High,High,High,High,High,Low,High,Low,Low,Low,Low,Low,False.
VA,Low,,356-2992,no,yes,High,High,Low,High,High,Low,High,Low,High,Low,High,Low,High,Low,False.
TX,Low,Low,373-2782,no,no,Low,High,High,High,Low,High,Low,Low,Low,Low,High,Low,High,Low,False.
FL,High,Low,396-5800,no,no,Low,Low,High,Low,High,High,High,High,High,High,High,Low,High,Low,False.
CO,Low,Low,393-7984,no,no,Low,Low,High,Low,Low,High,Low,High,Low,High,Low,Low,Low,High,True.
AZ,High,Low,358-1958,no,no,Low,High,High,High,Low,High,Low,Low,Low,Low,High,High,High,Low,False.
SC,Low,Low,350-2565,no,no,Low,Low,High,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,False.
VA,High,,343-4696,no,no,Low,Low,High,Low,High,Low,High,High,High,High,High,Low,High,Low,False.
NE,High,Low,331-3698,no,no,Low,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,False.
WY,Low,Low,357-3817,no,yes,High,High,High,High,High,High,High,Low,High,Low,High,Low,High,Low,False.
MT,Low,Low,418-6412,no,no,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Low,High,Low,False.
MO,Low,Low,353-2630,no,no,Low,High,High,High,High,Low,High,Low,Low,Low,Low,Low,Low,Low,False.
HI,Low,,410-7789,no,no,Low,Low,High,Low,High,High,High,Low,Low,Low,High,Low,High,Low,False.
IL,High,Low,416-8428,no,no,Low,Low,High,Low,Low,Low,Low,High,High,High,High,Low,High,Low,False.
NH,Low,,370-3359,no,no,Low,High,High,High,High,High,High,High,Low,High,High,Low,High,Low,False.
LA,High,Low,383-1121,no,no,Low,High,High,High,Low,High,Low,High,Low,High,High,High,High,Low,False.
AZ,Low,Low,360-1596,no,no,Low,High,High,High,High,High,High,High,Low,High,High,Low,High,Low,True.
OK,Low,Low,395-2854,no,yes,High,High,High,High,High,Low,High,High,High,High,Low,Low,High,Low,False.
GA,Low,Low,362-1407,no,yes,High,High,Low,High,High,High,High,Low,Low,Low,High,Low,High,Low,False.
AK,Low,Low,341-9764,no,yes,High,Low,High,Low,Low,Low,Low,Low,High,Low,High,Low,High,Low,False.
MA,Low,Low,353-3305,no,no,Low,Low,Low,Low,High,High,High,High,High,High,High,Low,High,Low,False.
AK,High,Low,402-1381,yes,yes,High,High,High,High,High,High,High,Low,High,Low,High,Low,High,Low,False.
NJ,High,Low,332-9891,no,no,Low,Low,High,Low,High,High,High,Low,High,Low,High,Low,High,Low,False.
GA,Low,Low,372-9976,no,no,Low,Low,High,Low,Low,High,Low,Low,High,Low,Low,Low,High,Low,False.
MD,High,Low,383-6029,yes,yes,High,Low,High,High,High,High,High,Low,Low,Low,High,High,High,Low,True.
AR,Low,,353-7289,no,no,Low,Low,High,Low,High,High,High,High,Low,High,High,Low,High,Low,False.
ID,High,Low,390-7274,no,no,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,High,Low,False.
WI,Low,,352-1237,no,no,Low,Low,Low,Low,High,High,High,High,Low,High,Low,Low,Low,Low,False.
OR,Low,Low,353-3061,no,yes,High,Low,High,Low,High,High,High,Low,High,Low,Low,Low,High,Low,False.
MI,Low,Low,363-5450,no,no,Low,High,High,High,Low,High,Low,Low,High,Low,High,Low,High,Low,False.
